hoy,value
1262,0.5
1263,0.5
1264,0.9
1265,0.9
1266,2.5
1267,2.5
1268,2.5
1269,2.6
1270,2.7
1271,2.5
1272,2.5
1273,2.5
1274,2.5
1275,2.5
1276,2.5
1277,2.5
1278,2.5
1279,2.5
1280,2.5
1281,0.7
1282,0.4
1283,0.5
1284,0.5
1285,0.5
1286,0.5
1287,0.5
1288,0.5
1289,0.5
1290,2.9
1291,2.6
1292,2.5
1293,2.5
1294,2.5
1295,2.5
1296,2.5
1297,2.5
1298,2.5
1299,2.5
1300,2.5
1301,2.5
1302,2.5
1303,2.4
1304,2.5
1305,1.4
1306,0.5
1307,0.5
1308,0.5
1309,0.5
1310,0.4
1311,0.7
1312,0.9
1313,0.6
1314,2.3
1315,2.4
1316,2.4
1317,2.3
1318,2.4
1319,2.5
1320,2.5
1321,2.5
1322,2.4
1323,2.5
1324,2.6
1325,2.5
1326,2.5
1327,2.5
1328,1.3
1329,0.5
1330,0.5
1331,0.4
1332,0.5
1333,0.5
1334,0.5
1335,0.6
1336,0.5
1337,0.6
1338,1.5
1339,2.5
1340,2.5
1341,2.5
1342,2.5
1343,2.5
1344,2.5
1345,2.5
1346,2.5
1347,2.4
1348,2.6
1349,2.5
1350,2.5
1351,2.5
1352,1.1
1353,0.5
1354,0.4
1355,0.5
1356,0.6
1357,0.5
1358,0.4
1359,0.5
1360,0.6
1361,0.5
1362,1.5
1363,2.5
1364,2.5
1365,2.5
1366,2.5
1367,2.5
1368,2.5
1369,2.4
1370,2.5
1371,2.5
1372,2.5
1373,2.5
1374,2.5
1375,2.5
1376,1
1377,0.7
1378,0.4
1379,0.5
1380,0.5
1381,0.6
1382,0.6
1383,0.5
1384,0.5
1385,0.5
1386,1.2
1387,2.6
1388,2.7
1389,2.6
1390,2.5
1391,2.5
1392,2.5
1393,2.5
1394,2.5
1395,2.5
1396,2.5
1397,2.5
1398,2.5
1399,2.5
1400,0.9
1401,0.5
1402,0.6
1403,0.5
1404,0.5
1405,0.4
1406,0.6
1407,0.5
1408,0.9
1409,0.5
1410,1.3
1411,2.7
1412,2.8
1413,2.6
1414,2.7
1415,2.5
1416,2.5
1417,2.6
1418,2.5
1419,2.5
1420,2.5
1421,2.6
1422,2.5
1423,2.5
1424,1
1425,0.5
1426,0.5
1427,0.5
1428,0.4
1429,0.5
1430,0.5
1431,0.6
1432,0.5
1433,0.7
1434,1.2
1435,2.5
1436,2.5
1437,2.5
1438,2.5
1439,2.4
1440,2.5
1441,2.5
1442,2.5
1443,2.5
1444,2.5
1445,2.5
1446,2.5
1447,2.5
1448,0.7
1449,0.6
1450,0.5
1451,0.5
1452,0.6
1453,0.6
1454,0.4
1455,0.5
1456,0.6
1457,0.8
1458,1
1459,2.5
1460,2.5
1461,2.5
1462,2.5
1463,2.4
1464,2.5
1465,2.5
1466,2.5
1467,2.5
1468,2.5
1469,2.5
1470,2.5
1471,2.4
1472,1.1
1473,0.4
1474,0.5
1475,0.5
1476,0.5
1477,0.4
1478,0.6
1479,0.5
1480,0.8
1481,0.5
1482,1.3
1483,2.5
1484,2.5
1485,2.5
1486,2.5
1487,2.5
1488,2.5
1489,2.5
1490,2.5
1491,2.5
1492,2.5
1493,2.5
1494,2.4
1495,2.5
1496,0.6
1497,0.5
1498,0.4
1499,0.5
1500,0.4
1501,0.5
1502,0.5
1503,0.5
1504,0.5
1505,0.5
1506,1
1507,2.6
1508,2.4
1509,2.5
1510,2.5
1511,2.5
1512,2.6
1513,2.5
1514,2.5
1515,2.5
1516,2.5
1517,2.5
1518,2.6
1519,2.5
1520,0.5
1521,0.5
1522,0.4
1523,0.5
1524,0.4
1525,0.5
1526,0.8
1527,0.7
1528,0.7
1529,0.7
1530,1
1531,2.5
1532,2.5
1533,2.5
1534,2.6
1535,2.5
1536,2.5
1537,2.5
1538,2.5
1539,2.5
1540,2.5
1541,2.6
1542,2.5
1543,2.5
1544,0.6
1545,0.5
1546,0.4
1547,0.5
1548,0.5
1549,0.6
1550,0.5
1551,0.5
1552,0.7
1553,0.5
1554,0.9
1555,2.5
1556,2.4
1557,2.5
1558,2.4
1559,2.5
1560,2.5
1561,2.5
1562,2.5
1563,2.5
1564,2.5
1565,2.6
1566,2.5
1567,2.5
1568,1.3
1569,0.5
1570,0.4
1571,0.5
1572,0.5
1573,0.5
1574,0.5
1575,0.4
1576,0.5
1577,0.6
1578,1.4
1579,2.5
1580,2.5
1581,2.5
1582,2.5
1583,2.4
1584,2.5
1585,2.6
1586,2.5
1587,2.5
1588,2.5
1589,2.5
1590,2.4
1591,2.2
1592,0.5
1593,0.4
1594,0.5
1595,0.5
1596,0.5
1597,0.5
1598,0.5
1599,0.5
1600,0.7
1601,0.5
1602,0.5
1603,2.5
1604,2.5
1605,2.5
1606,2.5
1607,2.5
1608,2.5
1609,2.5
1610,2.5
1611,2.5
1612,2.5
1613,2.4
1614,2.5
1615,2
1616,0.5
1617,0.5
1618,0.5
1619,0.4
1620,0.6
1621,0.5
1622,0.6
1623,0.5
1624,0.4
1625,0.5
1626,0.8
1627,2.4
1628,2.4
1629,2.5
1630,2.5
1631,2.4
1632,2.5
1633,2.4
1634,2.5
1635,2.4
1636,2.5
1637,2.4
1638,2.5
1639,1.9
1640,0.5
1641,0.4
1642,0.5
1643,0.5
1644,0.5
1645,0.5
1646,0.5
1647,0.5
1648,0.6
1649,0.5
1650,0.7
1651,2.4
1652,2.4
1653,2.4
1654,2.5
1655,2.4
1656,2.5
1657,2.4
1658,2.5
1659,2.4
1660,2.4
1661,2.5
1662,2.4
1663,1.8
1664,0.5
1665,0.4
1666,0.5
1667,0.5
1668,0.4
1669,0.5
1670,0.5
1671,0.5
1672,0.5
1673,0.5
1674,0.4
1675,2.3
1676,2.5
1677,2.4
1678,2.5
1679,2.4
1680,2.4
1681,2.4
1682,2.5
1683,2.4
1684,2.4
1685,2.5
1686,2.4
1687,1.6
1688,0.4
1689,0.5
1690,0.4
1691,0.5
1692,0.5
1693,0.5
1694,0.5
1695,0.4
1696,0.5
1697,0.5
1698,0.6
1699,2.5
1700,2.4
1701,2.4
1702,2.4
1703,2.4
1704,2.4
1705,2.4
1706,2.4
1707,2.4
1708,2.5
1709,2.4
1710,2.5
1711,2.4
1712,0.5
1713,0.5
1714,0.6
1715,0.6
1716,0.6
1717,1
1718,0.7
1719,0.7
1720,0.6
1721,0.6
1722,1.7
1723,2.6
1724,2.6
1725,2.6
1726,2.3
1727,2.2
1728,2.4
1729,2.4
1730,2.5
1731,2.4
1732,2.4
1733,2.2
1734,2.3
1735,2.3
1736,0.5
1737,0.2
1738,0.3
1739,0.3
1740,0.3
1741,0.3
1742,0.3
1743,0.6
1744,0.5
1745,0.5
1746,0.4
1747,2.2
1748,2.7
1749,2.6
1750,2.9
1751,2.6
1752,2.7
1753,2.5
1754,2.3
1755,2.3
1756,2.3
1757,2.3
1758,2.3
1759,1.5
1760,0.3
1761,0.3
1762,0.4
1763,0.4
1764,0.3
1765,0.5
1766,0.5
1767,0.6
1768,0.7
1769,0.5
1770,0.5
1771,2.1
1772,2.5
1773,2.8
1774,2.7
1775,2.6
1776,2.4
1777,2.5
1778,2.3
1779,2.3
1780,2.3
1781,2.3
1782,2.3
1783,1.3
1784,0.3
1785,0.3
1786,0.5
1787,0.6
1788,0.7
1789,0.5
1790,0.5
1791,0.3
1792,0.3
1793,0.4
1794,0.8
1795,2.3
1796,2.4
1797,2.5
1798,2.9
1799,2.5
1800,2.4
1801,2.5
1802,2.4
1803,2.5
1804,2.4
1805,2.2
1806,2.3
1807,2.1
1808,0.4
1809,0.4
1810,0.9
1811,0.9
1812,0.9
1813,0.7
1814,0.5
1815,0.5
1816,0.8
1817,0.5
1818,1.7
1819,2.5
1820,2.4
1821,2.4
1822,2.5
1823,2.4
1824,2.4
1825,2.4
1826,2.5
1827,2.4
1828,2.4
1829,2.5
1830,2.4
1831,2.4
1832,2.4
1833,0.4
1834,0.5
1835,0.5
1836,0.4
1837,0.5
1838,0.5
1839,0.5
1840,0.5
1841,0.5
1842,0.6
1843,2.3
1844,2.4
1845,2.4
1846,2.5
1847,2.4
1848,2.4
1849,2.4
1850,2.4
1851,2.4
1852,2.5
1853,2.4
1854,2.4
1855,2
1856,0.5
1857,0.4
1858,0.5
1859,0.5
1860,0.4
1861,0.5
1862,0.5
1863,0.4
1864,0.6
1865,0.4
1866,2
1867,2.3
1868,2.6
1869,2.6
1870,2.5
1871,2.4
1872,2.4
1873,2.4
1874,2.4
1875,2.5
1876,2.4
1877,2.4
1878,2.4
1879,2.5
1880,1.5
1881,0.5
1882,0.4
1883,0.5
1884,0.5
1885,0.5
1886,0.5
1887,0.6
1888,0.5
1889,0.6
1890,0.8
1891,2.3
1892,2.3
1893,2.4
1894,2.5
1895,2.3
1896,2.5
1897,2.4
1898,2.4
1899,2.5
1900,2.4
1901,2.4
1902,2.4
1903,2.3
1904,0.5
1905,0.8
1906,0.6
1907,0.7
1908,0.7
1909,0.7
